Country,Job Title,Gender,Quantity,Percentage
Bulgaria,Data Security Administrator,Male,1,0.018%
Bulgaria,Data Security Analyst,Female,1,0.018%
Bulgaria,Data Storage Specialist,Male,1,0.018%
Bulgaria,Data Systems Manager,Female,1,0.018%
Bulgaria,Data Warehouse Architect,Male,3,0.053%
Bulgaria,Data Warehouse Developer,Male,2,0.035%
Bulgaria,Data Warehouse Specialist,Male,5,0.088%
Bulgaria,Data Warehousing Engineer,Female,1,0.018%
Bulgaria,Data Warehousing Specialist,Female,1,0.018%
Bulgaria,Data Warehousing Specialist,Male,1,0.018%
Bulgaria,Database Administration Associate,Male,2,0.035%
Bulgaria,Database Administration Manager,Male,1,0.018%
Bulgaria,Database Analyst,Female,1,0.018%
Bulgaria,Database Architect,Male,1,0.018%
Bulgaria,Database Consultant,Female,1,0.018%
Bulgaria,Database Coordinator,Male,1,0.018%
Bulgaria,Database Design Analyst,Male,1,0.018%
Bulgaria,Database Designer,Female,1,0.018%
Bulgaria,Database Designer,Male,1,0.018%
Bulgaria,Database Development Project Manager,Male,1,0.018%
Bulgaria,Database Modeler,Male,2,0.035%
Bulgaria,Database Security Administrator,Male,1,0.018%
Bulgaria,Database Security Expert,Male,1,0.018%
Bulgaria,Database Software Technician,Female,1,0.018%
Bulgaria,Database Software Technician,Male,1,0.018%
Bulgaria,Database Tester,Female,1,0.018%
Bulgaria,Database Tester,Male,1,0.018%
Bulgaria,Director of Data Operations,Male,1,0.018%
Bulgaria,Electronic Data Processing Auditor (EDP Auditor),Male,1,0.018%
Bulgaria,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Female,3,0.053%
Bulgaria,Geographic Information Systems Data Administrator (GIS Data Administrator),Male,1,0.018%
Bulgaria,Geographic Information Systems Data Manager (GIS Data Manager),Male,1,0.018%
Bulgaria,Geographic Information Systems Data Specialist (GIS Data Specialist),Female,1,0.018%
Bulgaria,Geographic Information Systems Data Specialist (GIS Data Specialist),Male,3,0.053%
Bulgaria,Geographic Information Systems Database Administrator (GIS Database Administrator),Male,2,0.035%
Bulgaria,Head of Information Systems and Data Processing,Female,1,0.018%
Bulgaria,Head of Information Systems and Data Processing,Male,2,0.035%
Bulgaria,Internet Database Specialist,Male,4,0.07%
Bulgaria,"Naval Tactical Data System--Combat Information Center Watch Officer, Carrier Controlled Approach Controller",Female,1,0.018%
Bulgaria,"Naval Tactical Data System--Combat Information Center Watch Officer, Carrier Controlled Approach Controller",Male,1,0.018%
Bulgaria,SCADA Technician (Supervisory Control and Data Acquisition Technician),Male,1,0.018%
Bulgaria,SQL Database Administrator,Male,2,0.035%
Bulgaria,Survey Data Technician,Male,1,0.018%
Croatia,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Male,1,0.018%
Croatia,Clinical Data Abstractor,Male,1,0.018%
Croatia,Clinical Data Management Associate Director,Male,1,0.018%
Croatia,Computer or Data Processing Systems Consultant,Male,2,0.035%
Croatia,Data Administrator,Male,1,0.018%
Croatia,Data Analysis Assistant,Male,1,0.018%
Croatia,Data Coordinator,Male,1,0.018%
Croatia,Data Entry Associate,Male,1,0.018%
Croatia,Data Management Associate,Male,1,0.018%
Croatia,Data Management Information Technology Specialist,Male,1,0.018%
Croatia,Data Modeling Specialist,Male,1,0.018%
Croatia,Data Officer,Male,1,0.018%
Croatia,Data Operations Director,Male,1,0.018%
Croatia,Data Processing Manager,Male,1,0.018%
Croatia,Data Processing Systems Project Planner,Male,1,0.018%
Croatia,Data Security Administrator,Male,2,0.035%
Croatia,Data Storage Specialist,Male,2,0.035%
Croatia,Data Systems Manager,Male,2,0.035%
Croatia,Data Warehouse Developer,Male,1,0.018%
Croatia,Data Warehouse Specialist,Female,1,0.018%
Croatia,Database Coordinator,Male,1,0.018%
Croatia,Database Design Analyst,Male,2,0.035%
